Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.1,0.0,1000.0,20,33,28,19,22384.679688,0.000849
2,20,0.1,0.0,1000.0,20,35,32,19,17491.167969,0.001086
3,20,0.1,0.0,1000.0,20,30,28,19,25919.056641,0.000733
4,20,0.1,0.0,1000.0,20,37,29,19,18729.242188,0.001014
5,20,0.1,0.0,1000.0,20,35,29,19,21836.375000,0.000870
6,20,0.1,0.0,1000.0,20,39,33,19,20428.689453,0.000930
7,20,0.1,0.0,1000.0,20,44,37,19,17358.988281,0.001095
8,20,0.1,0.0,1000.0,20,36,31,19,17883.394531,0.001062
9,20,0.1,0.0,1000.0,20,36,26,19,19264.689453,0.000986
10,20,0.1,0.0,1000.0,20,40,37,19,21729.466797,0.000874
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.4,0.0,1000.0,20,72,44,18,16119.719727,0.001117
2,20,0.4,0.0,1000.0,20,62,36,18,18354.060547,0.000981
3,20,0.4,0.0,1000.0,20,79,41,19,19892.794922,0.000955
4,20,0.4,0.0,1000.0,20,65,34,19,19066.669922,0.000997
5,20,0.4,0.0,1000.0,20,82,52,19,23274.216797,0.000816
6,20,0.4,0.0,1000.0,20,67,42,19,25310.699219,0.000751
7,20,0.4,0.0,1000.0,20,54,32,18,15499.877930,0.001161
8,20,0.4,0.0,1000.0,20,71,44,19,24741.644531,0.000768
9,20,0.4,0.0,1000.0,20,73,42,19,18221.996094,0.001043
10,20,0.4,0.0,1000.0,20,68,35,19,19900.865234,0.000955
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.8,0.0,1000.0,20,645,130,13,19744.943359,0.000658
2,20,0.8,0.0,1000.0,20,421,84,18,18236.607422,0.000987
3,20,0.8,0.0,1000.0,20,391,70,18,21267.464844,0.000846
4,20,0.8,0.0,1000.0,20,544,114,14,16613.789062,0.000843
5,20,0.8,0.0,1000.0,20,332,72,17,17012.148438,0.000999
6,20,0.8,0.0,1000.0,20,319,67,19,24652.691406,0.000771
7,20,0.8,0.0,1000.0,20,373,79,17,19532.185547,0.000870
8,20,0.8,0.0,1000.0,20,287,66,17,17341.673828,0.000980
9,20,0.8,0.0,1000.0,20,308,60,17,21082.123047,0.000806
10,20,0.8,0.0,1000.0,20,363,78,17,22428.789062,0.000758
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.1,1000.0,20,29,28,17,19889.679688,0.000855
2,20,0.0,0.1,1000.0,20,34,33,19,17132.910156,0.001109
3,20,0.0,0.1,1000.0,20,34,33,19,22710.550781,0.000837
4,20,0.0,0.1,1000.0,20,31,30,17,17319.347656,0.000982
5,20,0.0,0.1,1000.0,20,30,29,19,20595.507812,0.000923
6,20,0.0,0.1,1000.0,20,32,31,19,25432.597656,0.000747
7,20,0.0,0.1,1000.0,20,32,31,17,19724.794922,0.000862
8,20,0.0,0.1,1000.0,20,34,33,19,18770.392578,0.001012
9,20,0.0,0.1,1000.0,20,30,29,17,19468.931641,0.000873
10,20,0.0,0.1,1000.0,20,31,30,15,21896.498047,0.000685
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.4,1000.0,20,56,55,17,22100.480469,0.000769
2,20,0.0,0.4,1000.0,20,41,40,13,17553.544922,0.000741
3,20,0.0,0.4,1000.0,20,51,50,13,18730.228516,0.000694
4,20,0.0,0.4,1000.0,20,50,49,15,20256.373047,0.000741
5,20,0.0,0.4,1000.0,20,56,55,17,24093.843750,0.000706
6,20,0.0,0.4,1000.0,20,47,46,14,21053.917969,0.000665
7,20,0.0,0.4,1000.0,20,47,46,18,18241.300781,0.000987
8,20,0.0,0.4,1000.0,20,45,44,15,22050.492188,0.000680
9,20,0.0,0.4,1000.0,20,56,55,13,22288.814453,0.000583
10,20,0.0,0.4,1000.0,20,39,38,14,18698.250000,0.000749
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.8,1000.0,20,124,123,9,23852.257812,0.000377
2,20,0.0,0.8,1000.0,20,94,93,9,22020.148438,0.000409
3,20,0.0,0.8,1000.0,20,129,128,9,24359.552734,0.000369
4,20,0.0,0.8,1000.0,20,126,125,9,18847.787109,0.000478
5,20,0.0,0.8,1000.0,20,118,117,10,19748.056641,0.000506
6,20,0.0,0.8,1000.0,20,118,117,12,19750.345703,0.000608
7,20,0.0,0.8,1000.0,20,102,101,7,20976.158203,0.000334
8,20,0.0,0.8,1000.0,20,134,133,8,18951.328125,0.000422
9,20,0.0,0.8,1000.0,20,162,161,9,17434.730469,0.000516
10,20,0.0,0.8,1000.0,20,108,107,9,18187.378906,0.000495
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1852,1674,713,50094.332031,0.014233
2,1000,0.1,0.2,50.0,1000,1877,1699,736,50253.328125,0.014646
3,1000,0.1,0.2,50.0,1000,1880,1697,711,48990.324219,0.014513
4,1000,0.1,0.2,50.0,1000,1858,1647,739,50416.195312,0.014658
5,1000,0.1,0.2,50.0,1000,1817,1641,748,50029.296875,0.014951
6,1000,0.1,0.2,50.0,1000,1856,1671,735,50128.703125,0.014662
7,1000,0.1,0.2,50.0,1000,1864,1679,726,50888.136719,0.014267
8,1000,0.1,0.2,50.0,1000,1832,1659,712,49792.531250,0.014299
9,1000,0.1,0.2,50.0,1000,1816,1629,695,49141.261719,0.014143
10,1000,0.1,0.2,50.0,1000,1790,1613,713,48802.093750,0.014610
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2118,1709,711,51118.882812,0.013909
