Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1852,1674,713,50094.332031,0.014233
2,1000,0.1,0.2,50.0,1000,1877,1699,736,50253.328125,0.014646
3,1000,0.1,0.2,50.0,1000,1880,1697,711,48990.324219,0.014513
4,1000,0.1,0.2,50.0,1000,1858,1647,739,50416.195312,0.014658
5,1000,0.1,0.2,50.0,1000,1817,1641,748,50029.296875,0.014951
6,1000,0.1,0.2,50.0,1000,1856,1671,735,50128.703125,0.014662
7,1000,0.1,0.2,50.0,1000,1864,1679,726,50888.136719,0.014267
8,1000,0.1,0.2,50.0,1000,1832,1659,712,49792.531250,0.014299
9,1000,0.1,0.2,50.0,1000,1816,1629,695,49141.261719,0.014143
10,1000,0.1,0.2,50.0,1000,1790,1613,713,48802.093750,0.014610
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2118,1709,711,51118.882812,0.013909
2,1000,0.2,0.2,50.0,1000,2109,1655,678,48894.824219,0.013866
3,1000,0.2,0.2,50.0,1000,2041,1619,654,49655.269531,0.013171
4,1000,0.2,0.2,50.0,1000,2114,1690,675,50841.628906,0.013277
5,1000,0.2,0.2,50.0,1000,2097,1662,667,50622.953125,0.013176
6,1000,0.2,0.2,50.0,1000,2132,1697,699,51136.101562,0.013669
7,1000,0.2,0.2,50.0,1000,2068,1650,697,50455.152344,0.013814
8,1000,0.2,0.2,50.0,1000,2122,1700,675,49882.457031,0.013532
9,1000,0.2,0.2,50.0,1000,2136,1699,675,49592.125000,0.013611
10,1000,0.2,0.2,50.0,1000,2010,1636,686,48777.984375,0.014064
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,2866,1702,563,50560.777344,0.011135
2,1000,0.4,0.2,50.0,1000,2699,1621,572,49432.367188,0.011571
3,1000,0.4,0.2,50.0,1000,2806,1696,555,49821.761719,0.011140
4,1000,0.4,0.2,50.0,1000,2829,1704,610,51488.066406,0.011847
5,1000,0.4,0.2,50.0,1000,2855,1723,606,51305.968750,0.011811
6,1000,0.4,0.2,50.0,1000,2881,1732,609,50843.289062,0.011978
7,1000,0.4,0.2,50.0,1000,2907,1716,587,51011.156250,0.011507
8,1000,0.4,0.2,50.0,1000,2747,1679,580,50241.492188,0.011544
9,1000,0.4,0.2,50.0,1000,2800,1659,560,49606.406250,0.011289
10,1000,0.4,0.2,50.0,1000,2847,1706,595,50668.769531,0.011743
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,3727,1514,399,51063.683594,0.007814
2,1000,0.6,0.2,50.0,1000,3799,1485,371,51236.265625,0.007241
3,1000,0.6,0.2,50.0,1000,3555,1436,376,47474.527344,0.007920
4,1000,0.6,0.2,50.0,1000,3656,1502,408,50784.675781,0.008034
5,1000,0.6,0.2,50.0,1000,3790,1494,396,51579.890625,0.007677
6,1000,0.6,0.2,50.0,1000,3646,1472,389,50960.492188,0.007633
7,1000,0.6,0.2,50.0,1000,3756,1499,370,50023.183594,0.007397
8,1000,0.6,0.2,50.0,1000,3528,1412,372,48582.953125,0.007657
9,1000,0.6,0.2,50.0,1000,3648,1421,371,49283.347656,0.007528
10,1000,0.6,0.2,50.0,1000,3803,1482,379,50381.011719,0.007523
