Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,35615,9394,63,51815.488281,0.001216
2,1000,0.6,0.2,50.0,1000,34731,9123,68,50155.277344,0.001356
3,1000,0.6,0.2,50.0,1000,36444,9620,71,52929.171875,0.001341
4,1000,0.6,0.2,50.0,1000,33222,8712,67,48378.656250,0.001385
5,1000,0.6,0.2,50.0,1000,35086,9148,69,50801.078125,0.001358
6,1000,0.6,0.2,50.0,1000,35311,9301,72,51397.515625,0.001401
7,1000,0.6,0.2,50.0,1000,34303,8883,60,48938.984375,0.001226
8,1000,0.6,0.2,50.0,1000,33806,8836,74,48916.613281,0.001513
9,1000,0.6,0.2,50.0,1000,34390,9114,80,50246.480469,0.001592
10,1000,0.6,0.2,50.0,1000,34567,9011,62,49938.531250,0.001242
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,43484,8793,130,49781.882812,0.002611
2,1000,0.8,0.2,50.0,1000,42900,8542,112,48807.882812,0.002295
3,1000,0.8,0.2,50.0,1000,42329,8421,128,48431.355469,0.002643
4,1000,0.8,0.2,50.0,1000,45559,8927,142,51646.871094,0.002749
5,1000,0.8,0.2,50.0,1000,43735,8673,128,49878.742188,0.002566
6,1000,0.8,0.2,50.0,1000,42984,8588,128,48649.367188,0.002631
7,1000,0.8,0.2,50.0,1000,42813,8489,116,49311.148438,0.002352
8,1000,0.8,0.2,50.0,1000,44178,8912,115,50543.015625,0.002275
9,1000,0.8,0.2,50.0,1000,44609,8966,145,50571.175781,0.002867
10,1000,0.8,0.2,50.0,1000,43747,8627,125,49327.937500,0.002534
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,14800,5225,671,49376.957031,0.013589
2,1000,0.1,0.2,50.0,1000,2856,2588,999,50646.285156,0.019725
3,1000,0.1,0.2,50.0,1000,30984,8674,114,49057.867188,0.002324
4,1000,0.1,0.2,50.0,1000,2630,2370,999,49292.960938,0.020267
5,1000,0.1,0.2,50.0,1000,21197,6583,460,51946.093750,0.008855
6,1000,0.1,0.2,50.0,1000,29644,8306,162,49895.289062,0.003247
7,1000,0.1,0.2,50.0,1000,2842,2547,999,49652.832031,0.020120
8,1000,0.1,0.2,50.0,1000,2868,2580,999,49721.136719,0.020092
9,1000,0.1,0.2,50.0,1000,2940,2651,999,48788.187500,0.020476
10,1000,0.1,0.2,50.0,1000,2575,2329,999,49862.351562,0.020035
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,34065,9159,64,50880.472656,0.001258
2,1000,0.4,0.2,50.0,1000,32165,8602,67,48094.941406,0.001393
3,1000,0.4,0.2,50.0,1000,33824,9005,60,50135.699219,0.001197
4,1000,0.4,0.2,50.0,1000,32933,8841,73,49257.640625,0.001482
5,1000,0.4,0.2,50.0,1000,34576,9205,61,51020.699219,0.001196
6,1000,0.4,0.2,50.0,1000,33885,9138,68,50851.234375,0.001337
7,1000,0.4,0.2,50.0,1000,32942,8894,87,50071.878906,0.001738
8,1000,0.4,0.2,50.0,1000,34000,9046,75,51383.519531,0.001460
9,1000,0.4,0.2,50.0,1000,34602,9219,63,51280.804688,0.001229
10,1000,0.4,0.2,50.0,1000,33800,9118,80,51017.972656,0.001568
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,28540,8100,237,50483.992188,0.004695
2,1000,0.2,0.2,50.0,1000,33111,9008,93,50755.343750,0.001832
3,1000,0.2,0.2,50.0,1000,3990,3140,999,50665.796875,0.019717
4,1000,0.2,0.2,50.0,1000,30286,8448,141,48896.125000,0.002884
5,1000,0.2,0.2,50.0,1000,15815,5491,660,51690.648438,0.012768
6,1000,0.2,0.2,50.0,1000,25876,7466,304,50484.105469,0.006022
7,1000,0.2,0.2,50.0,1000,25747,7340,281,48100.949219,0.005842
8,1000,0.2,0.2,50.0,1000,20909,6588,498,51350.312500,0.009698
9,1000,0.2,0.2,50.0,1000,32704,8978,84,49891.093750,0.001684
10,1000,0.2,0.2,50.0,1000,3470,2787,999,50548.375000,0.019763
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,35615,9394,63,51815.488281,0.001216
2,1000,0.6,0.2,50.0,1000,34731,9123,68,50155.277344,0.001356
3,1000,0.6,0.2,50.0,1000,36444,9620,71,52929.171875,0.001341
4,1000,0.6,0.2,50.0,1000,33222,8712,67,48378.656250,0.001385
5,1000,0.6,0.2,50.0,1000,35086,9148,69,50801.078125,0.001358
6,1000,0.6,0.2,50.0,1000,35311,9301,72,51397.515625,0.001401
7,1000,0.6,0.2,50.0,1000,34303,8883,60,48938.984375,0.001226
8,1000,0.6,0.2,50.0,1000,33806,8836,74,48916.613281,0.001513
9,1000,0.6,0.2,50.0,1000,34390,9114,80,50246.480469,0.001592
10,1000,0.6,0.2,50.0,1000,34567,9011,62,49938.531250,0.001242
