Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,43484,8793,130,49781.882812,0.002611
2,1000,0.8,0.2,50.0,1000,42900,8542,112,48807.882812,0.002295
3,1000,0.8,0.2,50.0,1000,42329,8421,128,48431.355469,0.002643
4,1000,0.8,0.2,50.0,1000,45559,8927,142,51646.871094,0.002749
5,1000,0.8,0.2,50.0,1000,43735,8673,128,49878.742188,0.002566
6,1000,0.8,0.2,50.0,1000,42984,8588,128,48649.367188,0.002631
7,1000,0.8,0.2,50.0,1000,42813,8489,116,49311.148438,0.002352
8,1000,0.8,0.2,50.0,1000,44178,8912,115,50543.015625,0.002275
9,1000,0.8,0.2,50.0,1000,44609,8966,145,50571.175781,0.002867
10,1000,0.8,0.2,50.0,1000,43747,8627,125,49327.937500,0.002534
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,33778,8941,71,49496.398438,0.001434
2,1000,0.5,0.2,50.0,1000,33758,8989,53,49399.406250,0.001073
3,1000,0.5,0.2,50.0,1000,33548,8924,71,49216.210938,0.001443
4,1000,0.5,0.2,50.0,1000,33996,8987,61,50047.457031,0.001219
5,1000,0.5,0.2,50.0,1000,34341,9099,63,50460.476562,0.001249
6,1000,0.5,0.2,50.0,1000,34444,9144,58,50683.707031,0.001144
7,1000,0.5,0.2,50.0,1000,33843,9023,64,49729.148438,0.001287
8,1000,0.5,0.2,50.0,1000,34293,9086,61,50527.574219,0.001207
9,1000,0.5,0.2,50.0,1000,33856,8972,70,49778.109375,0.001406
10,1000,0.5,0.2,50.0,1000,33810,8859,56,49383.531250,0.001134
