Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.4,0.2,50.0,200,40581,1763,17,10107.000000,0.001682
2,200,0.4,0.2,50.0,200,36177,1663,28,9786.000000,0.002861
3,200,0.4,0.2,50.0,200,31932,1496,43,9632.000000,0.004464
4,200,0.4,0.2,50.0,200,32246,1631,51,9825.000000,0.005191
5,200,0.4,0.2,50.0,200,28806,1417,48,8839.000000,0.005430
6,200,0.4,0.2,50.0,200,14162,1209,121,10565.000000,0.011453
7,200,0.4,0.2,50.0,200,35232,1542,23,9355.000000,0.002459
8,200,0.4,0.2,50.0,200,31259,1538,60,10506.000000,0.005711
9,200,0.4,0.2,50.0,200,33840,1637,41,9375.000000,0.004373
10,200,0.4,0.2,50.0,200,12972,1155,127,9806.000000,0.012951
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.2,0.2,50.0,200,726,590,199,10230.000000,0.019453
2,200,0.2,0.2,50.0,200,33075,1567,33,8892.000000,0.003711
3,200,0.2,0.2,50.0,200,701,558,199,10238.000000,0.019437
4,200,0.2,0.2,50.0,200,27797,1449,71,10392.000000,0.006832
5,200,0.2,0.2,50.0,200,33680,1610,45,10046.000000,0.004479
6,200,0.2,0.2,50.0,200,6041,845,157,10416.429688,0.015072
7,200,0.2,0.2,50.0,200,787,638,199,9493.000000,0.020963
8,200,0.2,0.2,50.0,200,704,561,196,9530.000000,0.020567
9,200,0.2,0.2,50.0,200,41044,1732,11,9489.000000,0.001159
10,200,0.2,0.2,50.0,200,688,530,199,9995.000000,0.019910
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.1,0.2,50.0,200,24169,1302,86,10399.000000,0.008270
2,200,0.1,0.2,50.0,200,649,587,198,10048.824219,0.019704
3,200,0.1,0.2,50.0,200,621,549,199,10065.000000,0.019771
4,200,0.1,0.2,50.0,200,24974,1447,76,10026.000000,0.007580
5,200,0.1,0.2,50.0,200,34640,1599,38,9664.000000,0.003932
6,200,0.1,0.2,50.0,200,552,496,198,10181.000000,0.019448
7,200,0.1,0.2,50.0,200,30925,1515,50,9906.000000,0.005047
8,200,0.1,0.2,50.0,200,513,470,199,10455.000000,0.019034
9,200,0.1,0.2,50.0,200,41481,1799,17,10017.000000,0.001697
10,200,0.1,0.2,50.0,200,16509,1121,123,9920.000000,0.012399
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.1,0.2,50.0,200,5686,1278,86,10258.000000,0.008384
2,200,0.1,0.2,50.0,200,649,587,198,10048.824219,0.019704
3,200,0.1,0.2,50.0,200,621,549,199,10065.000000,0.019771
4,200,0.1,0.2,50.0,200,5816,1387,76,9762.000000,0.007785
5,200,0.1,0.2,50.0,200,7510,1604,38,9701.000000,0.003917
6,200,0.1,0.2,50.0,200,552,496,198,10181.000000,0.019448
7,200,0.1,0.2,50.0,200,6720,1457,50,9608.000000,0.005204
8,200,0.1,0.2,50.0,200,513,470,199,10455.000000,0.019034
9,200,0.1,0.2,50.0,200,8565,1821,17,10170.259766,0.001672
10,200,0.1,0.2,50.0,200,4635,1143,119,10040.000000,0.011853
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.1,0.2,50.0,200,5686,1278,86,10258.000000,0.008384
2,200,0.1,0.2,50.0,200,649,587,198,10048.824219,0.019704
3,200,0.1,0.2,50.0,200,621,549,199,10065.000000,0.019771
4,200,0.1,0.2,50.0,200,5816,1387,76,9762.000000,0.007785
5,200,0.1,0.2,50.0,200,7510,1604,38,9701.000000,0.003917
6,200,0.1,0.2,50.0,200,552,496,198,10181.000000,0.019448
7,200,0.1,0.2,50.0,200,6720,1457,50,9608.000000,0.005204
8,200,0.1,0.2,50.0,200,513,470,199,10455.000000,0.019034
9,200,0.1,0.2,50.0,200,8565,1821,17,10170.259766,0.001672
10,200,0.1,0.2,50.0,200,4635,1143,119,10040.000000,0.011853
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.2,0.2,50.0,200,726,590,199,10230.000000,0.019453
2,200,0.2,0.2,50.0,200,7803,1633,34,9282.000000,0.003663
3,200,0.2,0.2,50.0,200,701,558,199,10238.000000,0.019437
4,200,0.2,0.2,50.0,200,6300,1391,73,10088.000000,0.007236
5,200,0.2,0.2,50.0,200,7648,1638,45,10283.000000,0.004376
6,200,0.2,0.2,50.0,200,2882,868,157,10564.000000,0.014862
7,200,0.2,0.2,50.0,200,787,638,199,9493.000000,0.020963
8,200,0.2,0.2,50.0,200,704,561,196,9530.000000,0.020567
9,200,0.2,0.2,50.0,200,8185,1724,11,9623.000000,0.001143
10,200,0.2,0.2,50.0,200,688,530,199,9995.000000,0.019910
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.2,0.2,50.0,200,726,590,199,10230.000000,0.019453
2,200,0.2,0.2,50.0,200,7803,1633,34,9282.000000,0.003663
3,200,0.2,0.2,50.0,200,701,558,199,10238.000000,0.019437
4,200,0.2,0.2,50.0,200,6300,1391,73,10088.000000,0.007236
5,200,0.2,0.2,50.0,200,7648,1638,45,10283.000000,0.004376
6,200,0.2,0.2,50.0,200,2882,868,157,10564.000000,0.014862
7,200,0.2,0.2,50.0,200,787,638,199,9493.000000,0.020963
8,200,0.2,0.2,50.0,200,704,561,196,9530.000000,0.020567
9,200,0.2,0.2,50.0,200,8185,1724,11,9623.000000,0.001143
10,200,0.2,0.2,50.0,200,688,530,199,9995.000000,0.019910
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.4,0.2,50.0,200,8947,1814,17,10286.000000,0.001653
2,200,0.4,0.2,50.0,200,8130,1798,29,10474.000000,0.002769
3,200,0.4,0.2,50.0,200,7772,1627,43,10338.000000,0.004159
4,200,0.4,0.2,50.0,200,7594,1621,51,9754.000000,0.005229
5,200,0.4,0.2,50.0,200,6826,1599,48,9766.000000,0.004915
6,200,0.4,0.2,50.0,200,4542,1212,121,10625.000000,0.011388
7,200,0.4,0.2,50.0,200,7021,1520,23,9196.000000,0.002501
8,200,0.4,0.2,50.0,200,6818,1453,60,10097.000000,0.005942
9,200,0.4,0.2,50.0,200,6865,1575,41,8986.000000,0.004563
10,200,0.4,0.2,50.0,200,4157,1212,131,10127.000000,0.012936
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.5,0.2,50.0,200,8979,1757,24,10166.000000,0.002361
2,200,0.5,0.2,50.0,200,8004,1775,17,9846.000000,0.001727
3,200,0.5,0.2,50.0,200,8333,1735,19,9899.000000,0.001919
4,200,0.5,0.2,50.0,200,7981,1769,27,10293.000000,0.002623
5,200,0.5,0.2,50.0,200,7488,1698,19,9851.000000,0.001929
6,200,0.5,0.2,50.0,200,7671,1589,47,10211.418945,0.004603
7,200,0.5,0.2,50.0,200,5543,1355,98,9789.000000,0.010011
8,200,0.5,0.2,50.0,200,5709,1382,97,9752.000000,0.009947
9,200,0.5,0.2,50.0,200,5239,1357,121,10347.520508,0.011694
10,200,0.5,0.2,50.0,200,6894,1512,66,10292.241211,0.006413
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.6,0.2,50.0,200,8448,1800,33,10593.954102,0.003115
2,200,0.6,0.2,50.0,200,7122,1656,55,9930.000000,0.005539
3,200,0.6,0.2,50.0,200,7133,1568,62,10283.000000,0.006029
4,200,0.6,0.2,50.0,200,8166,1716,37,9967.000000,0.003712
5,200,0.6,0.2,50.0,200,5248,1314,118,10020.000000,0.011776
6,200,0.6,0.2,50.0,200,7590,1637,39,10078.000000,0.003870
7,200,0.6,0.2,50.0,200,5467,1343,114,10129.000000,0.011255
8,200,0.6,0.2,50.0,200,8138,1616,34,9889.719727,0.003438
9,200,0.6,0.2,50.0,200,4293,1158,137,10340.000000,0.013250
10,200,0.6,0.2,50.0,200,6030,1413,83,9373.000000,0.008855
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,200,0.2,0.2,50.0,200,726,590,199,10230.000000,0.019453
