Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,35572,9337,36,52062.000000,0.000691
2,1000,0.6,0.2,50.0,1000,28618,8933,59,49788.679688,0.001185
3,1000,0.6,0.2,50.0,1000,35527,8749,64,49581.000000,0.001291
4,1000,0.6,0.2,50.0,1000,41238,9052,39,50415.000000,0.000774
5,1000,0.6,0.2,50.0,1000,29027,8437,120,49238.656250,0.002437
6,1000,0.6,0.2,50.0,1000,31265,8764,41,48948.000000,0.000838
7,1000,0.6,0.2,50.0,1000,36351,8772,117,50788.000000,0.002304
8,1000,0.6,0.2,50.0,1000,35176,8606,35,48248.000000,0.000725
9,1000,0.6,0.2,50.0,1000,36225,8572,140,50833.000000,0.002754
10,1000,0.6,0.2,50.0,1000,38353,8702,88,49369.000000,0.001782
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,40646,8953,24,49577.000000,0.000484
2,1000,0.5,0.2,50.0,1000,45839,9341,21,51457.000000,0.000408
3,1000,0.5,0.2,50.0,1000,44491,9247,21,50902.000000,0.000413
4,1000,0.5,0.2,50.0,1000,34015,8923,30,50038.000000,0.000600
5,1000,0.5,0.2,50.0,1000,30560,8964,19,50018.640625,0.000380
6,1000,0.5,0.2,50.0,1000,40692,8803,48,49763.000000,0.000965
7,1000,0.5,0.2,50.0,1000,33241,8779,102,50062.000000,0.002037
8,1000,0.5,0.2,50.0,1000,36791,8454,100,48544.000000,0.002060
9,1000,0.5,0.2,50.0,1000,38939,8766,122,51109.000000,0.002387
10,1000,0.5,0.2,50.0,1000,35933,8928,68,51217.000000,0.001328
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,30818,7173,313,50154.000000,0.006241
2,1000,0.2,0.2,50.0,1000,46084,8990,35,49875.000000,0.000702
3,1000,0.2,0.2,50.0,1000,30501,7555,238,49624.000000,0.004796
4,1000,0.2,0.2,50.0,1000,43990,8659,73,50231.000000,0.001453
5,1000,0.2,0.2,50.0,1000,39714,9004,45,50950.496094,0.000883
6,1000,0.2,0.2,50.0,1000,35162,7942,157,49704.000000,0.003159
7,1000,0.2,0.2,50.0,1000,33112,7660,237,48744.871094,0.004862
8,1000,0.2,0.2,50.0,1000,35044,7852,210,49703.000000,0.004225
9,1000,0.2,0.2,50.0,1000,45539,8977,11,49395.000000,0.000223
10,1000,0.2,0.2,50.0,1000,31702,7218,329,50706.000000,0.006488
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,44362,8414,86,49188.378906,0.001748
2,1000,0.1,0.2,50.0,1000,34365,7384,284,49945.000000,0.005686
3,1000,0.1,0.2,50.0,1000,24300,7305,269,49711.000000,0.005411
4,1000,0.1,0.2,50.0,1000,44855,8673,79,49897.000000,0.001583
5,1000,0.1,0.2,50.0,1000,38450,8583,38,48033.660156,0.000791
6,1000,0.1,0.2,50.0,1000,33614,7543,293,51338.000000,0.005707
7,1000,0.1,0.2,50.0,1000,41266,8985,50,50754.949219,0.000985
8,1000,0.1,0.2,50.0,1000,33996,7499,267,51481.558594,0.005186
9,1000,0.1,0.2,50.0,1000,33916,9026,17,49941.000000,0.000340
10,1000,0.1,0.2,50.0,1000,38836,8697,119,51372.000000,0.002316
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,39850,9197,18,50692.000000,0.000355
2,1000,0.4,0.2,50.0,1000,44695,8727,31,48472.000000,0.000640
3,1000,0.4,0.2,50.0,1000,37344,8782,46,49547.000000,0.000928
4,1000,0.4,0.2,50.0,1000,43806,8816,51,49586.000000,0.001029
5,1000,0.4,0.2,50.0,1000,44413,8825,48,49655.000000,0.000967
6,1000,0.4,0.2,50.0,1000,34694,8353,124,49715.000000,0.002494
7,1000,0.4,0.2,50.0,1000,34860,8932,26,49260.000000,0.000528
8,1000,0.4,0.2,50.0,1000,35867,8581,60,49392.000000,0.001215
9,1000,0.4,0.2,50.0,1000,39068,9051,43,50287.000000,0.000855
10,1000,0.4,0.2,50.0,1000,42276,8663,131,51351.000000,0.002551
